地域コード,地域,年齢,総数／計(人),総数／男(人),総数／女(人),日本人／計(人),日本人／男(人),日本人／女(人),外国人／計(人),外国人／男(人),外国人／女(人)
13109,品川区,5～9,16657,8492,8165,16253,8287,7966,404,205,199
13109,品川区,10～14,14746,7529,7217,14388,7334,7054,358,195,163
13109,品川区,15～19,13127,6682,6445,12710,6478,6232,417,204,213
13109,品川区,20～24,20150,10084,10066,18733,9296,9437,1417,788,629
13109,品川区,25～29,34150,17324,16826,31772,16089,15683,2378,1235,1143
13109,品川区,30～34,31855,16006,15849,29620,14854,14766,2235,1152,1083
13109,品川区,35～39,33394,16828,16566,31543,15888,15655,1851,940,911
13109,品川区,40～44,33216,16835,16381,31566,15945,15621,1650,890,760
13109,品川区,45～49,33687,16943,16744,32608,16399,16209,1079,544,535
13109,品川区,50～54,33394,16530,16864,32357,16071,16286,1037,459,578
13109,品川区,55～59,27024,13806,13218,26260,13441,12819,764,365,399
13109,品川区,60～64,20107,10175,9932,19547,9936,9611,560,239,321
13109,品川区,65～69,16655,8105,8550,16287,7959,8328,368,146,222
13109,品川区,70～74,18626,8760,9866,18369,8642,9727,257,118,139
13109,品川区,75～79,17366,7917,9449,17209,7852,9357,157,65,92
13109,品川区,80～84,13463,5332,8131,13387,5304,8083,76,28,48
13109,品川区,85～89,8737,2955,5782,8690,2942,5748,47,13,34
13109,品川区,90～94,4507,1172,3335,4486,1168,3318,21,4,17
13109,品川区,95～99,1410,320,1090,1403,318,1085,7,2,5
13109,品川区,100以上,225,31,194,225,31,194,-,-,-
13110,目黒区,総数,279520,131816,147704,268972,126265,142707,10548,5551,4997
13110,目黒区,0～4,9622,4942,4680,9397,4814,4583,225,128,97
13110,目黒区,5～9,10609,5548,5061,10373,5434,4939,236,114,122
13110,目黒区,10～14,10317,5340,4977,10088,5228,4860,229,112,117
13110,目黒区,15～19,9331,4645,4686,9115,4545,4570,216,100,116
13110,目黒区,20～24,13972,6754,7218,13027,6266,6761,945,488,457
13110,目黒区,25～29,22684,11277,11407,21138,10482,10656,1546,795,751
13110,目黒区,30～34,21548,10446,11102,19902,9602,10300,1646,844,802
13110,目黒区,35～39,21408,10250,11158,20068,9540,10528,1340,710,630
13110,目黒区,40～44,22829,10816,12013,21795,10253,11542,1034,563,471
13110,目黒区,45～49,24011,11382,12629,23216,10920,12296,795,462,333
13110,目黒区,50～54,23173,10699,12474,22468,10309,12159,705,390,315
13110,目黒区,55～59,19728,9451,10277,19160,9128,10032,568,323,245
13110,目黒区,60～64,15057,7340,7717,14644,7109,7535,413,231,182
13110,目黒区,65～69,11575,5506,6069,11291,5372,5919,284,134,150
13110,目黒区,70～74,11851,5410,6441,11712,5348,6364,139,62,77
13110,目黒区,75～79,11589,5029,6560,11484,4979,6505,105,50,55
13110,目黒区,80～84,9070,3601,5469,9008,3576,5432,62,25,37
13110,目黒区,85～89,6264,2107,4157,6233,2096,4137,31,11,20
13110,目黒区,90～94,3535,1015,2520,3517,1011,2506,18,4,14
13110,目黒区,95～99,1183,234,949,1175,231,944,8,3,5
13110,目黒区,100以上,164,24,140,161,22,139,3,2,1
13111,大田区,総数,733634,364637,368997,705237,350715,354522,28397,13922,14475
13111,大田区,0～4,23364,12027,11337,22521,11584,10937,843,443,400
13111,大田区,5～9,26021,13381,12640,25229,12955,12274,792,426,366
13111,大田区,10～14,26087,13349,12738,25383,12974,12409,704,375,329
13111,大田区,15～19,26591,13412,13179,25794,12999,12795,797,413,384
13111,大田区,20～24,44489,22427,22062,41700,20908,20792,2789,1519,1270
13111,大田区,25～29,62542,31430,31112,57457,28718,28739,5085,2712,2373
13111,大田区,30～34,51022,26393,24629,46769,24110,22659,4253,2283,1970
13111,大田区,35～39,49429,25519,23910,46465,24029,22436,2964,1490,1474
13111,大田区,40～44,50703,26001,24702,48246,24893,23353,2457,1108,1349
13111,大田区,45～49,55996,28856,27140,54104,27994,26110,1892,862,1030
13111,大田区,50～54,61201,31301,29900,59391,30584,28807,1810,717,1093
13111,大田区,55～59,51660,27187,24473,50218,26654,23564,1442,533,909
13111,大田区,60～64,40157,20847,19310,39211,20474,18737,946,373,573
13111,大田区,65～69,33760,17069,16691,33124,16809,16315,636,260,376
13111,大田区,70～74,38011,18599,19412,37589,18431,19158,422,168,254
13111,大田区,75～79,35357,16148,19209,35098,16028,19070,259,120,139
