,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
,,野間口,さわ,大和,木宮,小池,うつみ,石丸,小野寺,しんどう,竹本,桜井,ドクター・中松,安野,清水,ＡＩメイヤー,桑原,ゴトウ,河合,福本,黒川,桑島,田母神,蓮舫,ないとう,内野,石丸,尾関,小松,かがた,福永,犬伏,武内,遠藤,上楽,二宮,中江,ふなはし,山田,加藤,草尾,津村,横山,前田,みなみ,ふくはら,木村,三輪,松尾,ホカリ,小林,加藤,ひまそら,向後,うしくぼ,古田,アキノリ将軍未満
,,翔,しげみ,行男,みつき,ゆりこ,さとる,伸二,こうき,伸夫,秀之,誠,,たかひろ,国明,,まりこ,テルキ,ゆうすけ,繁幸,あつひこ,康文,としお,,ひさお,愛里,幸人,あゆみ,けん,たくじ,かつや,宏明,隆,信一,むねゆき,大造,ともや,ゆめと,信一,英明,あつし,大作,緑,太一,俊輔,しるび,よしたか,陽一,芳治,ジン,弘,健一郎,あかね,真徳,のぶお,真,
,,無所属,無所属,無所属,未来党,無所属,市民がつくる政治の会,無所属,忠臣蔵義士新党,お金をみんなへ　シン独立党,無所属,日本第一党,無所属,無所属,清水国明と東京都の安全な未来をつくる会,ＡＩ党,無所属,ラブ＆ピース党,ジョーカー議員と投票率を上げる会,無所属,つばさの党,核融合党,無所属,無所属,無所属,カワイイ私の政見放送を見てね,石丸幸人党,ポーカー党,ゴルフ党,覇王党,ＮＨＫから国民を守る党,ＮＨＫから国民を守る党,ＮＨＫから国民を守る党,ＮＨＫから国民を守る党,ＮＨＫから国民を守る党,ＮＨＫから国民を守る党,ＮＨＫから国民を守る党,ＮＨＫから国民を守る党,ＮＨＫから国民を守る党,ＮＨＫから国民を守る党,ＮＨＫから国民を守る党,ＮＨＫから国民を守る党,ＮＨＫから国民を守る党,ＮＨＫから国民を守る党,ＮＨＫから国民を守る党,ＮＨＫから国民を守る党,ＮＨＫから国民を守る党,ＮＨＫから国民を守る党,ＮＨＫから国民を守る党,無所属,無所属,無所属,無所属,無所属,無所属,（略称）土頭を働かし最高裁裁判官５人を弾劾する党,ネオ幕府アキノリ党
　　武蔵野市,確,8.000,12.000,112.000,44.000,29616.000,1666.000,20395.291,3.000,6.000,26.000,715.000,267.000,2295.000,377.000,37.000,12.000,56.000,11.000,42.000,16.000,5.000,2997.000,18415.000,29.000,23.000,510.708,,6.000,5.000,13.000,2.000,4.000,9.000,2.000,4.000,4.000,2.000,6.000,5.000,6.000,3.000,20.000,10.000,2.000,2.000,2.000,4.000,1.000,9.000,91.000,4.000,1231.000,17.000,12.000,3.000,6.000
　　三鷹市,確,16.000,14.000,146.000,67.000,39009.000,1931.000,25695.173,1.000,8.000,8.000,1042.000,346.000,2401.000,574.000,38.000,14.000,80.000,29.000,41.000,38.000,6.000,3642.000,21794.000,40.000,26.000,541.826,7.000,10.000,9.000,9.000,3.000,5.000,9.000,5.000,8.000,5.000,7.000,8.000,4.000,13.000,1.000,24.000,6.000,4.000,5.000,5.000,3.000,3.000,7.000,82.000,14.000,1571.000,37.000,13.000,2.000,11.000
　　青梅市,確,5.000,11.000,67.000,50.000,32556.000,1024.000,11908.950,10.000,14.000,12.000,687.000,231.000,394.000,395.000,18.000,8.000,48.000,19.000,18.000,22.000,3.000,2038.000,11348.000,17.000,20.000,764.049,5.000,9.000,8.000,26.000,1.000,4.000,7.000,5.000,6.000,7.000,3.000,16.000,5.000,5.000,5.000,24.000,2.000,6.000,4.000,6.000,10.000,1.000,8.000,70.000,9.000,739.000,5.000,18.000,7.000,11.000
　　府中市,確,37.000,29.000,173.000,89.000,56567.000,2310.000,31567.094,11.000,14.000,11.000,1364.000,495.000,2127.000,695.000,55.000,32.000,112.000,35.000,97.000,49.000,9.000,4884.000,24895.000,55.000,54.000,1154.905,9.000,15.000,17.000,15.000,15.000,2.000,14.000,1.000,14.000,6.000,1.000,13.000,4.000,10.000,5.000,42.000,15.000,5.000,13.000,10.000,2.000,5.000,4.000,117.000,9.000,2116.000,48.000,30.000,2.000,10.000
　　昭島市,確,6.000,13.000,79.000,38.000,26247.000,948.000,11705.004,3.000,8.000,3.000,652.000,186.000,579.000,400.000,26.000,17.000,44.000,13.000,19.000,15.000,4.000,2020.000,10266.000,22.000,17.000,831.995,2.000,14.000,5.000,5.000,3.000,9.000,8.000,5.000,9.000,3.000,,7.000,7.000,5.000,5.000,21.000,6.000,4.000,5.000,6.000,2.000,2.000,7.000,64.000,11.000,781.000,9.000,2.000,5.000,8.000
　　調布市,確,13.000,26.000,199.000,87.000,51795.000,2340.000,32874.343,5.000,19.000,14.000,1202.000,456.000,2702.000,655.000,45.000,34.000,85.000,32.000,64.000,46.000,15.000,4499.000,24810.000,55.000,39.000,548.656,4.000,6.000,2.000,20.000,3.000,36.000,13.000,2.000,13.000,3.000,2.000,3.000,9.000,4.000,6.000,44.000,8.000,4.000,11.000,4.000,2.000,2.000,17.000,124.000,13.000,2018.000,45.000,16.000,4.000,12.000
　　町田市,確,43.000,18.000,256.000,182.000,97713.000,3822.000,46230.601,38.000,8.000,32.000,2268.000,634.000,2441.000,1234.000,61.000,53.000,159.000,83.000,116.000,61.000,10.000,7431.000,41389.000,77.000,49.000,6154.398,18.000,18.000,20.000,35.000,49.000,17.000,24.000,3.000,22.000,20.000,7.000,39.000,22.000,6.000,5.000,67.000,20.000,18.000,15.000,17.000,6.000,13.000,15.000,256.000,16.000,2958.000,37.000,55.000,21.000,28.000
　　小金井市,確,10.000,9.000,102.000,27.000,26077.000,1194.000,14282.905,3.000,3.000,7.000,641.000,239.000,1499.000,362.000,24.000,8.000,43.000,13.000,35.000,18.000,3.000,2233.000,14372.000,35.000,19.000,2338.094,5.000,7.000,3.000,3.000,1.000,,8.000,5.000,3.000,2.000,,4.000,3.000,3.000,2.000,10.000,1.000,,3.000,14.000,3.000,1.000,5.000,59.000,1.000,987.000,16.000,12.000,6.000,12.000
　　小平市,確,15.000,12.000,148.000,77.000,43212.000,1789.000,21800.530,5.000,18.000,23.000,987.000,307.000,1599.000,532.000,43.000,20.000,72.000,26.000,65.000,29.000,7.000,3407.000,19929.000,51.000,32.000,2325.469,14.000,18.000,12.000,20.000,1.000,5.000,14.000,1.000,8.000,5.000,4.000,9.000,10.000,8.000,5.000,15.000,9.000,6.000,9.000,13.000,10.000,6.000,8.000,183.000,8.000,1507.000,28.000,15.000,8.000,11.000
　　日野市,確,14.000,16.000,219.000,73.000,41940.000,1643.000,21877.250,17.000,18.000,7.000,948.000,319.000,1247.000,557.000,37.000,43.000,81.000,26.000,41.000,23.000,3.000,3329.000,19377.000,49.000,43.000,2089.749,4.000,11.000,8.000,12.000,29.000,3.000,5.000,6.000,10.000,5.000,6.000,11.000,5.000,7.000,1.000,43.000,10.000,4.000,6.000,10.000,1.000,11.000,36.000,89.000,15.000,1504.000,27.000,13.000,7.000,7.000
