地域 コード,地域,時間軸(年次),世帯の年間収入階級,普通世帯数【世帯】
13121,足立区,2018年,1000～1500万円未満,"12,480"
13121,足立区,2018年,1500万円以上,"4,270"
13122,葛飾区,2018年,総数,"209,190"
13122,葛飾区,2018年,100万円未満,"8,780"
13122,葛飾区,2018年,100～200万円未満,"26,040"
13122,葛飾区,2018年,200～300万円未満,"33,480"
13122,葛飾区,2018年,300～400万円未満,"25,680"
13122,葛飾区,2018年,400～500万円未満,"25,670"
13122,葛飾区,2018年,500～700万円未満,"27,740"
13122,葛飾区,2018年,700～1000万円未満,"27,150"
13122,葛飾区,2018年,1000～1500万円未満,"10,760"
13122,葛飾区,2018年,1500万円以上,"2,650"
13123,江戸川区,2018年,総数,"307,800"
13123,江戸川区,2018年,100万円未満,"13,400"
13123,江戸川区,2018年,100～200万円未満,"33,270"
13123,江戸川区,2018年,200～300万円未満,"44,840"
13123,江戸川区,2018年,300～400万円未満,"40,090"
13123,江戸川区,2018年,400～500万円未満,"38,560"
13123,江戸川区,2018年,500～700万円未満,"47,650"
13123,江戸川区,2018年,700～1000万円未満,"38,530"
13123,江戸川区,2018年,1000～1500万円未満,"17,740"
13123,江戸川区,2018年,1500万円以上,"4,390"
13201,八王子市,2018年,総数,"253,950"
13201,八王子市,2018年,100万円未満,"20,060"
13201,八王子市,2018年,100～200万円未満,"27,070"
13201,八王子市,2018年,200～300万円未満,"37,770"
13201,八王子市,2018年,300～400万円未満,"35,670"
13201,八王子市,2018年,400～500万円未満,"29,620"
13201,八王子市,2018年,500～700万円未満,"36,710"
13201,八王子市,2018年,700～1000万円未満,"28,580"
13201,八王子市,2018年,1000～1500万円未満,"13,760"
13201,八王子市,2018年,1500万円以上,"3,980"
13202,立川市,2018年,総数,"86,010"
13202,立川市,2018年,100万円未満,"3,860"
13202,立川市,2018年,100～200万円未満,"11,550"
13202,立川市,2018年,200～300万円未満,"12,820"
13202,立川市,2018年,300～400万円未満,"10,220"
13202,立川市,2018年,400～500万円未満,"8,800"
13202,立川市,2018年,500～700万円未満,"12,110"
13202,立川市,2018年,700～1000万円未満,"9,960"
13202,立川市,2018年,1000～1500万円未満,"4,370"
13202,立川市,2018年,1500万円以上,850
13203,武蔵野市,2018年,総数,"73,980"
13203,武蔵野市,2018年,100万円未満,"3,260"
13203,武蔵野市,2018年,100～200万円未満,"6,160"
13203,武蔵野市,2018年,200～300万円未満,"9,080"
13203,武蔵野市,2018年,300～400万円未満,"9,870"
13203,武蔵野市,2018年,400～500万円未満,"8,140"
13203,武蔵野市,2018年,500～700万円未満,"9,500"
13203,武蔵野市,2018年,700～1000万円未満,"7,950"
13203,武蔵野市,2018年,1000～1500万円未満,"6,770"
13203,武蔵野市,2018年,1500万円以上,"3,370"
13204,三鷹市,2018年,総数,"89,730"
13204,三鷹市,2018年,100万円未満,"3,640"
13204,三鷹市,2018年,100～200万円未満,"7,450"
13204,三鷹市,2018年,200～300万円未満,"14,260"
13204,三鷹市,2018年,300～400万円未満,"12,660"
13204,三鷹市,2018年,400～500万円未満,"10,340"
13204,三鷹市,2018年,500～700万円未満,"10,610"
13204,三鷹市,2018年,700～1000万円未満,"11,140"
13204,三鷹市,2018年,1000～1500万円未満,"8,050"
13204,三鷹市,2018年,1500万円以上,"2,160"
13205,青梅市,2018年,総数,"50,800"
13205,青梅市,2018年,100万円未満,"1,860"
13205,青梅市,2018年,100～200万円未満,"5,110"
13205,青梅市,2018年,200～300万円未満,"8,380"
13205,青梅市,2018年,300～400万円未満,"7,740"
13205,青梅市,2018年,400～500万円未満,"5,940"
13205,青梅市,2018年,500～700万円未満,"8,240"
13205,青梅市,2018年,700～1000万円未満,"6,020"
13205,青梅市,2018年,1000～1500万円未満,"2,410"
13205,青梅市,2018年,1500万円以上,440
13206,府中市,2018年,総数,"115,730"
13206,府中市,2018年,100万円未満,"5,380"
13206,府中市,2018年,100～200万円未満,"12,040"
13206,府中市,2018年,200～300万円未満,"16,740"
13206,府中市,2018年,300～400万円未満,"15,180"
13206,府中市,2018年,400～500万円未満,"12,270"
13206,府中市,2018年,500～700万円未満,"17,680"
13206,府中市,2018年,700～1000万円未満,"16,560"
13206,府中市,2018年,1000～1500万円未満,"7,450"
13206,府中市,2018年,1500万円以上,"2,430"
13207,昭島市,2018年,総数,"49,440"
13207,昭島市,2018年,100万円未満,"2,540"
13207,昭島市,2018年,100～200万円未満,"6,160"
13207,昭島市,2018年,200～300万円未満,"7,350"
13207,昭島市,2018年,300～400万円未満,"7,350"
13207,昭島市,2018年,400～500万円未満,"5,380"
13207,昭島市,2018年,500～700万円未満,"8,040"
13207,昭島市,2018年,700～1000万円未満,"5,790"
13207,昭島市,2018年,1000～1500万円未満,"2,140"
13207,昭島市,2018年,1500万円以上,700
13208,調布市,2018年,総数,"114,600"
13208,調布市,2018年,100万円未満,"5,390"
13208,調布市,2018年,100～200万円未満,"10,840"
13208,調布市,2018年,200～300万円未満,"15,090"
13208,調布市,2018年,300～400万円未満,"15,300"
13208,調布市,2018年,400～500万円未満,"12,110"
13208,調布市,2018年,500～700万円未満,"15,620"
13208,調布市,2018年,700～1000万円未満,"15,680"
13208,調布市,2018年,1000～1500万円未満,"6,730"
13208,調布市,2018年,1500万円以上,"3,220"
13209,町田市,2018年,総数,"186,270"
13209,町田市,2018年,100万円未満,"10,040"
13209,町田市,2018年,100～200万円未満,"18,290"
13209,町田市,2018年,200～300万円未満,"29,040"
13209,町田市,2018年,300～400万円未満,"25,750"
13209,町田市,2018年,400～500万円未満,"18,730"
13209,町田市,2018年,500～700万円未満,"29,060"
13209,町田市,2018年,700～1000万円未満,"25,190"
13209,町田市,2018年,1000～1500万円未満,"13,730"
13209,町田市,2018年,1500万円以上,"4,410"
13210,小金井市,2018年,総数,"61,160"
13210,小金井市,2018年,100万円未満,"3,700"
13210,小金井市,2018年,100～200万円未満,"5,830"
13210,小金井市,2018年,200～300万円未満,"6,650"
13210,小金井市,2018年,300～400万円未満,"7,440"
13210,小金井市,2018年,400～500万円未満,"6,600"
13210,小金井市,2018年,500～700万円未満,"8,560"
13210,小金井市,2018年,700～1000万円未満,"8,730"
13210,小金井市,2018年,1000～1500万円未満,"4,910"
13210,小金井市,2018年,1500万円以上,"1,580"
13211,小平市,2018年,総数,"84,300"
13211,小平市,2018年,100万円未満,"5,420"
13211,小平市,2018年,100～200万円未満,"9,130"
13211,小平市,2018年,200～300万円未満,"11,160"
13211,小平市,2018年,300～400万円未満,"10,410"
13211,小平市,2018年,400～500万円未満,"8,470"
13211,小平市,2018年,500～700万円未満,"12,400"
13211,小平市,2018年,700～1000万円未満,"11,590"
13211,小平市,2018年,1000～1500万円未満,"5,530"
13211,小平市,2018年,1500万円以上,"1,520"
13212,日野市,2018年,総数,"85,630"
13212,日野市,2018年,100万円未満,"4,870"
13212,日野市,2018年,100～200万円未満,"8,890"
13212,日野市,2018年,200～300万円未満,"11,310"
13212,日野市,2018年,300～400万円未満,"11,600"
13212,日野市,2018年,400～500万円未満,"9,820"
13212,日野市,2018年,500～700万円未満,"12,970"
13212,日野市,2018年,700～1000万円未満,"11,430"
13212,日野市,2018年,1000～1500万円未満,"5,610"
13212,日野市,2018年,1500万円以上,"1,580"
13213,東村山市,2018年,総数,"64,930"
13213,東村山市,2018年,100万円未満,"2,860"
13213,東村山市,2018年,100～200万円未満,"7,310"
13213,東村山市,2018年,200～300万円未満,"10,470"
13213,東村山市,2018年,300～400万円未満,"9,220"
13213,東村山市,2018年,400～500万円未満,"8,300"
13213,東村山市,2018年,500～700万円未満,"9,520"
13213,東村山市,2018年,700～1000万円未満,"7,830"
13213,東村山市,2018年,1000～1500万円未満,"3,440"
13213,東村山市,2018年,1500万円以上,"1,220"
13214,国分寺市,2018年,総数,"61,080"
13214,国分寺市,2018年,100万円未満,"3,000"
13214,国分寺市,2018年,100～200万円未満,"5,600"
13214,国分寺市,2018年,200～300万円未満,"9,060"
13214,国分寺市,2018年,300～400万円未満,"8,270"
13214,国分寺市,2018年,400～500万円未満,"6,970"
13214,国分寺市,2018年,500～700万円未満,"6,990"
13214,国分寺市,2018年,700～1000万円未満,"7,670"
